chr_r1,start_r1,end_r1,name_r1,chr_r2,start_r2,end_r2,name_r2,label
chr1,152369607,152370607,chr1:152369716..152370381,chr10,53148828,53149828,chr10:53149139..53149795,1
chr1,152371607,152372607,chr1:152371607..152372607,chr10,53150828,53151828,chr10:53150828..53151828,0
chr1,152367607,152368607,chr1:152367607..152368607,chr10,53146828,53147828,chr10:53146828..53147828,0
chr1,152369607,152370607,chr1:152369607..152370607,chr10,53150828,53151828,chr10:53150828..53151828,0
chr1,152367607,152368607,chr1:152367607..152368607,chr10,53148828,53149828,chr10:53148828..53149828,0
chr1,202087763,202088763,chr1:202087995..202088532,chr10,116230868,116231868,chr10:116231269..116232006,1
chr1,202089763,202090763,chr1:202089763..202090763,chr10,116232868,116233868,chr10:116232868..116233868,0
chr1,202085763,202086763,chr1:202085763..202086763,chr10,116228868,116229868,chr10:116228868..116229868,0
chr1,202087763,202088763,chr1:202087763..202088763,chr10,116232868,116233868,chr10:116232868..116233868,0
chr1,202085763,202086763,chr1:202085763..202086763,chr10,116230868,116231868,chr10:116230868..116231868,0
chr1,23215397,23216397,chr1:23215389..23216221,chr11,70037142,70038142,chr11:70037215..70037839,1
chr1,23217397,23218397,chr1:23217397..23218397,chr11,70039142,70040142,chr11:70039142..70040142,0
chr1,23213397,23214397,chr1:23213397..23214397,chr11,70035142,70036142,chr11:70035142..70036142,0
chr1,23215397,23216397,chr1:23215397..23216397,chr11,70039142,70040142,chr11:70039142..70040142,0
chr1,23213397,23214397,chr1:23213397..23214397,chr11,70037142,70038142,chr11:70037142..70038142,0
chr1,195908666,195909666,chr1:195908660..195909465,chr11,60896880,60897880,chr11:60896948..60897811,1
chr1,195910666,195911666,chr1:195910666..195911666,chr11,60898880,60899880,chr11:60898880..60899880,0
chr1,195906666,195907666,chr1:195906666..195907666,chr11,60894880,60895880,chr11:60894880..60895880,0
chr1,195908666,195909666,chr1:195908666..195909666,chr11,60898880,60899880,chr11:60898880..60899880,0
chr1,195906666,195907666,chr1:195906666..195907666,chr11,60896880,60897880,chr11:60896880..60897880,0
chr1,110074926,110075926,chr1:110074932..110075921,chr12,52720910,52721910,chr12:52721029..52721792,1
chr1,110076926,110077926,chr1:110076926..110077926,chr12,52722910,52723910,chr12:52722910..52723910,0
chr1,110072926,110073926,chr1:110072926..110073926,chr12,52718910,52719910,chr12:52718910..52719910,0
chr1,110074926,110075926,chr1:110074926..110075926,chr12,52722910,52723910,chr12:52722910..52723910,0
chr1,110072926,110073926,chr1:110072926..110073926,chr12,52720910,52721910,chr12:52720910..52721910,0
chr1,114888780,114889780,chr1:114889023..114889538,chr12,45342064,45343064,chr12:45342253..45342809,1
chr1,114890780,114891780,chr1:114890780..114891780,chr12,45344064,45345064,chr12:45344064..45345064,0
chr1,114886780,114887780,chr1:114886780..114887780,chr12,45340064,45341064,chr12:45340064..45341064,0
chr1,114888780,114889780,chr1:114888780..114889780,chr12,45344064,45345064,chr12:45344064..45345064,0
chr1,114886780,114887780,chr1:114886780..114887780,chr12,45342064,45343064,chr12:45342064..45343064,0
chr1,161067034,161068034,chr1:161067187..161067690,chr12,53258784,53259784,chr12:53258906..53259669,1
chr1,161069034,161070034,chr1:161069034..161070034,chr12,53260784,53261784,chr12:53260784..53261784,0
chr1,161065034,161066034,chr1:161065034..161066034,chr12,53256784,53257784,chr12:53256784..53257784,0
chr1,161067034,161068034,chr1:161067034..161068034,chr12,53260784,53261784,chr12:53260784..53261784,0
chr1,161065034,161066034,chr1:161065034..161066034,chr12,53258784,53259784,chr12:53258784..53259784,0
chr1,114888808,114889808,chr1:114888924..114889692,chr14,23025685,23026685,chr14:23025879..23026492,1
chr1,114890808,114891808,chr1:114890808..114891808,chr14,23027685,23028685,chr14:23027685..23028685,0
chr1,114886808,114887808,chr1:114886808..114887808,chr14,23023685,23024685,chr14:23023685..23024685,0
chr1,114888808,114889808,chr1:114888808..114889808,chr14,23027685,23028685,chr14:23027685..23028685,0
