chr_r1,start_r1,end_r1,name_r1,chr_r2,start_r2,end_r2,name_r2,label
chr1,878143,879143,chr1:874165..879175,chr1,935433,936433,chr1:933340..938306,1
chr1,880143,881143,chr1:880143..881143,chr1,937433,938433,chr1:937433..938433,0
chr1,876143,877143,chr1:876143..877143,chr1,933433,934433,chr1:933433..934433,0
chr1,878143,879143,chr1:878143..879143,chr1,937433,938433,chr1:937433..938433,0
chr1,876143,877143,chr1:876143..877143,chr1,935433,936433,chr1:935433..936433,0
chr1,894096,895096,chr1:889676..896594,chr1,935433,936433,chr1:933897..938982,1
chr1,896096,897096,chr1:896096..897096,chr1,937433,938433,chr1:937433..938433,0
chr1,892096,893096,chr1:892096..893096,chr1,933433,934433,chr1:933433..934433,0
chr1,894096,895096,chr1:894096..895096,chr1,937433,938433,chr1:937433..938433,0
chr1,892096,893096,chr1:892096..893096,chr1,935433,936433,chr1:935433..936433,0
chr1,935433,936433,chr1:933002..936977,chr1,1243139,1244139,chr1:1241433..1244643,1
chr1,937433,938433,chr1:937433..938433,chr1,1245139,1246139,chr1:1245139..1246139,0
chr1,933433,934433,chr1:933433..934433,chr1,1241139,1242139,chr1:1241139..1242139,0
chr1,935433,936433,chr1:935433..936433,chr1,1245139,1246139,chr1:1245139..1246139,0
chr1,933433,934433,chr1:933433..934433,chr1,1243139,1244139,chr1:1243139..1244139,0
chr1,935433,936433,chr1:933642..937195,chr1,1166736,1167736,chr1:1166409..1168837,1
chr1,937433,938433,chr1:937433..938433,chr1,1168736,1169736,chr1:1168736..1169736,0
chr1,933433,934433,chr1:933433..934433,chr1,1164736,1165736,chr1:1164736..1165736,0
chr1,935433,936433,chr1:935433..936433,chr1,1168736,1169736,chr1:1168736..1169736,0
chr1,933433,934433,chr1:933433..934433,chr1,1166736,1167736,chr1:1166736..1167736,0
chr1,935433,936433,chr1:934457..936847,chr1,1334598,1335598,chr1:1333226..1335741,1
chr1,937433,938433,chr1:937433..938433,chr1,1336598,1337598,chr1:1336598..1337598,0
chr1,933433,934433,chr1:933433..934433,chr1,1332598,1333598,chr1:1332598..1333598,0
chr1,935433,936433,chr1:935433..936433,chr1,1336598,1337598,chr1:1336598..1337598,0
chr1,933433,934433,chr1:933433..934433,chr1,1334598,1335598,chr1:1334598..1335598,0
chr1,935433,936433,chr1:934554..938476,chr1,1208861,1209861,chr1:1207792..1211397,1
chr1,937433,938433,chr1:937433..938433,chr1,1210861,1211861,chr1:1210861..1211861,0
chr1,933433,934433,chr1:933433..934433,chr1,1206861,1207861,chr1:1206861..1207861,0
chr1,935433,936433,chr1:935433..936433,chr1,1210861,1211861,chr1:1210861..1211861,0
chr1,933433,934433,chr1:933433..934433,chr1,1208861,1209861,chr1:1208861..1209861,0
chr1,935596,936596,chr1:935591..937223,chr1,1284518,1285518,chr1:1283807..1286220,1
chr1,937596,938596,chr1:937596..938596,chr1,1286518,1287518,chr1:1286518..1287518,0
chr1,933596,934596,chr1:933596..934596,chr1,1282518,1283518,chr1:1282518..1283518,0
chr1,935596,936596,chr1:935596..936596,chr1,1286518,1287518,chr1:1286518..1287518,0
chr1,933596,934596,chr1:933596..934596,chr1,1284518,1285518,chr1:1284518..1285518,0
chr1,935981,936981,chr1:936361..938226,chr1,1342194,1343194,chr1:1342007..1344975,1
chr1,937981,938981,chr1:937981..938981,chr1,1344194,1345194,chr1:1344194..1345194,0
chr1,933981,934981,chr1:933981..934981,chr1,1340194,1341194,chr1:1340194..1341194,0
chr1,935981,936981,chr1:935981..936981,chr1,1344194,1345194,chr1:1344194..1345194,0
chr1,933981,934981,chr1:933981..934981,chr1,1342194,1343194,chr1:1342194..1343194,0
chr1,1092578,1093578,chr1:1090636..1096868,chr1,1166736,1167736,chr1:1165922..1169548,1
chr1,1094578,1095578,chr1:1094578..1095578,chr1,1168736,1169736,chr1:1168736..1169736,0
chr1,1090578,1091578,chr1:1090578..1091578,chr1,1164736,1165736,chr1:1164736..1165736,0
chr1,1092578,1093578,chr1:1092578..1093578,chr1,1168736,1169736,chr1:1168736..1169736,0
chr1,1090578,1091578,chr1:1090578..1091578,chr1,1166736,1167736,chr1:1166736..1167736,0
chr1,1166596,1167596,chr1:1165428..1167529,chr1,1243056,1244056,chr1:1242405..1244037,1
chr1,1168596,1169596,chr1:1168596..1169596,chr1,1245056,1246056,chr1:1245056..1246056,0
chr1,1164596,1165596,chr1:1164596..1165596,chr1,1241056,1242056,chr1:1241056..1242056,0
chr1,1166596,1167596,chr1:1166596..1167596,chr1,1245056,1246056,chr1:1245056..1246056,0
chr1,1164596,1165596,chr1:1164596..1165596,chr1,1243056,1244056,chr1:1243056..1244056,0
chr1,1166953,1167953,chr1:1167099..1169528,chr1,1208861,1209861,chr1:1207760..1211637,1
chr1,1168953,1169953,chr1:1168953..1169953,chr1,1210861,1211861,chr1:1210861..1211861,0
chr1,1164953,1165953,chr1:1164953..1165953,chr1,1206861,1207861,chr1:1206861..1207861,0
chr1,1166953,1167953,chr1:1166953..1167953,chr1,1210861,1211861,chr1:1210861..1211861,0
chr1,1164953,1165953,chr1:1164953..1165953,chr1,1208861,1209861,chr1:1208861..1209861,0
chr1,1284518,1285518,chr1:1283668..1286049,chr1,1446541,1447541,chr1:1445788..1449098,1
chr1,1286518,1287518,chr1:1286518..1287518,chr1,1448541,1449541,chr1:1448541..1449541,0
chr1,1282518,1283518,chr1:1282518..1283518,chr1,1444541,1445541,chr1:1444541..1445541,0
chr1,1284518,1285518,chr1:1284518..1285518,chr1,1448541,1449541,chr1:1448541..1449541,0
chr1,1282518,1283518,chr1:1282518..1283518,chr1,1446541,1447541,chr1:1446541..1447541,0
chr1,1284518,1285518,chr1:1283816..1285768,chr1,1550571,1551571,chr1:1550699..1552419,1
chr1,1286518,1287518,chr1:1286518..1287518,chr1,1552571,1553571,chr1:1552571..1553571,0
chr1,1282518,1283518,chr1:1282518..1283518,chr1,1548571,1549571,chr1:1548571..1549571,0
chr1,1284518,1285518,chr1:1284518..1285518,chr1,1552571,1553571,chr1:1552571..1553571,0
chr1,1282518,1283518,chr1:1282518..1283518,chr1,1550571,1551571,chr1:1550571..1551571,0
