chr_r1,start_r1,end_r1,name_r1,chr_r2,start_r2,end_r2,name_r2,label
chr1,1334607,1335607,chr1:1333769..1335759,chr2,232318285,232319285,chr2:232318096..232319693,1
chr1,1336607,1337607,chr1:1336607..1337607,chr2,232320285,232321285,chr2:232320285..232321285,0
chr1,1332607,1333607,chr1:1332607..1333607,chr2,232316285,232317285,chr2:232316285..232317285,0
chr1,1334607,1335607,chr1:1334607..1335607,chr2,232320285,232321285,chr2:232320285..232321285,0
chr1,1332607,1333607,chr1:1332607..1333607,chr2,232318285,232319285,chr2:232318285..232319285,0
chr1,1335059,1336059,chr1:1334466..1336653,chr6,44214231,44215231,chr6:44213643..44215550,1
chr1,1337059,1338059,chr1:1337059..1338059,chr6,44216231,44217231,chr6:44216231..44217231,0
chr1,1333059,1334059,chr1:1333059..1334059,chr6,44212231,44213231,chr6:44212231..44213231,0
chr1,1335059,1336059,chr1:1335059..1336059,chr6,44216231,44217231,chr6:44216231..44217231,0
chr1,1333059,1334059,chr1:1333059..1334059,chr6,44214231,44215231,chr6:44214231..44215231,0
chr1,8929938,8930938,chr1:8929360..8931517,chr11,65657958,65658958,chr11:65656879..65659148,1
chr1,8931938,8932938,chr1:8931938..8932938,chr11,65659958,65660958,chr11:65659958..65660958,0
chr1,8927938,8928938,chr1:8927938..8928938,chr11,65655958,65656958,chr11:65655958..65656958,0
chr1,8929938,8930938,chr1:8929938..8930938,chr11,65659958,65660958,chr11:65659958..65660958,0
chr1,8927938,8928938,chr1:8927938..8928938,chr11,65657958,65658958,chr11:65657958..65658958,0
chr1,8938986,8939986,chr1:8938311..8940661,chr2,55645996,55646996,chr2:55644553..55646968,1
chr1,8940986,8941986,chr1:8940986..8941986,chr2,55647996,55648996,chr2:55647996..55648996,0
chr1,8936986,8937986,chr1:8936986..8937986,chr2,55643996,55644996,chr2:55643996..55644996,0
chr1,8938986,8939986,chr1:8938986..8939986,chr2,55647996,55648996,chr2:55647996..55648996,0
chr1,8936986,8937986,chr1:8936986..8937986,chr2,55645996,55646996,chr2:55645996..55646996,0
chr1,11967684,11968684,chr1:11966803..11968507,chr11,65196011,65197011,chr11:65194382..65198671,1
chr1,11969684,11970684,chr1:11969684..11970684,chr11,65198011,65199011,chr11:65198011..65199011,0
chr1,11965684,11966684,chr1:11965684..11966684,chr11,65194011,65195011,chr11:65194011..65195011,0
chr1,11967684,11968684,chr1:11967684..11968684,chr11,65198011,65199011,chr11:65198011..65199011,0
chr1,11965684,11966684,chr1:11965684..11966684,chr11,65196011,65197011,chr11:65196011..65197011,0
chr1,11968338,11969338,chr1:11966899..11969816,chr17,79478219,79479219,chr17:79477305..79481490,1
chr1,11970338,11971338,chr1:11970338..11971338,chr17,79480219,79481219,chr17:79480219..79481219,0
chr1,11966338,11967338,chr1:11966338..11967338,chr17,79476219,79477219,chr17:79476219..79477219,0
