chr_r1,start_r1,end_r1,name_r1,chr_r2,start_r2,end_r2,name_r2,label
chr1,935177,936177,chr1:935135..936219,chr1,45196171,45197171,chr1:45196260..45197083,1
chr1,937177,938177,chr1:937177..938177,chr1,45198171,45199171,chr1:45198171..45199171,0
chr1,933177,934177,chr1:933177..934177,chr1,45194171,45195171,chr1:45194171..45195171,0
chr1,935177,936177,chr1:935177..936177,chr1,45198171,45199171,chr1:45198171..45199171,0
chr1,933177,934177,chr1:933177..934177,chr1,45196171,45197171,chr1:45196171..45197171,0
chr1,1334238,1335238,chr1:1334412..1335064,chr1,23885074,23886074,chr1:23885182..23885966,1
chr1,1336238,1337238,chr1:1336238..1337238,chr1,23887074,23888074,chr1:23887074..23888074,0
chr1,1332238,1333238,chr1:1332238..1333238,chr1,23883074,23884074,chr1:23883074..23884074,0
chr1,1334238,1335238,chr1:1334238..1335238,chr1,23887074,23888074,chr1:23887074..23888074,0
chr1,1332238,1333238,chr1:1332238..1333238,chr1,23885074,23886074,chr1:23885074..23886074,0
chr1,1406765,1407765,chr1:1406823..1407707,chr1,154946067,154947067,chr1:154946173..154946962,1
chr1,1408765,1409765,chr1:1408765..1409765,chr1,154948067,154949067,chr1:154948067..154949067,0
chr1,1404765,1405765,chr1:1404765..1405765,chr1,154944067,154945067,chr1:154944067..154945067,0
chr1,1406765,1407765,chr1:1406765..1407765,chr1,154948067,154949067,chr1:154948067..154949067,0
chr1,1404765,1405765,chr1:1404765..1405765,chr1,154946067,154947067,chr1:154946067..154947067,0
chr1,1509493,1510493,chr1:1509545..1510442,chr1,37939585,37940585,chr1:37939702..37940455,1
chr1,1511493,1512493,chr1:1511493..1512493,chr1,37941585,37942585,chr1:37941585..37942585,0
chr1,1507493,1508493,chr1:1507493..1508493,chr1,37937585,37938585,chr1:37937585..37938585,0
chr1,1509493,1510493,chr1:1509493..1510493,chr1,37941585,37942585,chr1:37941585..37942585,0
chr1,1507493,1508493,chr1:1507493..1508493,chr1,37939585,37940585,chr1:37939585..37940585,0
chr1,1509790,1510790,chr1:1509795..1510786,chr1,203274234,203275234,chr1:203274605..203275215,1
chr1,1511790,1512790,chr1:1511790..1512790,chr1,203276234,203277234,chr1:203276234..203277234,0
chr1,1507790,1508790,chr1:1507790..1508790,chr1,203272234,203273234,chr1:203272234..203273234,0
chr1,1509790,1510790,chr1:1509790..1510790,chr1,203276234,203277234,chr1:203276234..203277234,0
chr1,1507790,1508790,chr1:1507790..1508790,chr1,203274234,203275234,chr1:203274234..203275234,0
chr1,1510081,1511081,chr1:1510284..1510878,chr1,11967653,11968653,chr1:11967863..11968444,1
chr1,1512081,1513081,chr1:1512081..1513081,chr1,11969653,11970653,chr1:11969653..11970653,0
chr1,1508081,1509081,chr1:1508081..1509081,chr1,11965653,11966653,chr1:11965653..11966653,0
chr1,1510081,1511081,chr1:1510081..1511081,chr1,11969653,11970653,chr1:11969653..11970653,0
chr1,1508081,1509081,chr1:1508081..1509081,chr1,11967653,11968653,chr1:11967653..11968653,0
chr1,1821336,1822336,chr1:1821534..1822353,chr1,11969390,11970390,chr1:11969609..11970172,1
chr1,1823336,1824336,chr1:1823336..1824336,chr1,11971390,11972390,chr1:11971390..11972390,0
chr1,1819336,1820336,chr1:1819336..1820336,chr1,11967390,11968390,chr1:11967390..11968390,0
chr1,1821336,1822336,chr1:1821336..1822336,chr1,11971390,11972390,chr1:11971390..11972390,0
chr1,1819336,1820336,chr1:1819336..1820336,chr1,11969390,11970390,chr1:11969390..11970390,0
chr1,2143976,2144976,chr1:2144073..2144879,chr1,156084042,156085042,chr1:156084214..156084871,1
chr1,2145976,2146976,chr1:2145976..2146976,chr1,156086042,156087042,chr1:156086042..156087042,0
chr1,2141976,2142976,chr1:2141976..2142976,chr1,156082042,156083042,chr1:156082042..156083042,0
chr1,2143976,2144976,chr1:2143976..2144976,chr1,156086042,156087042,chr1:156086042..156087042,0
chr1,2141976,2142976,chr1:2141976..2142976,chr1,156084042,156085042,chr1:156084042..156085042,0
chr1,2158427,2159427,chr1:2158623..2159165,chr1,45272905,45273905,chr1:45273083..45273727,1
chr1,2160427,2161427,chr1:2160427..2161427,chr1,45274905,45275905,chr1:45274905..45275905,0
chr1,2156427,2157427,chr1:2156427..2157427,chr1,45270905,45271905,chr1:45270905..45271905,0
chr1,2158427,2159427,chr1:2158427..2159427,chr1,45274905,45275905,chr1:45274905..45275905,0
chr1,2156427,2157427,chr1:2156427..2157427,chr1,45272905,45273905,chr1:45272905..45273905,0
chr1,2158467,2159467,chr1:2158782..2159565,chr1,8085621,8086621,chr1:8085780..8086462,1
chr1,2160467,2161467,chr1:2160467..2161467,chr1,8087621,8088621,chr1:8087621..8088621,0
chr1,2156467,2157467,chr1:2156467..2157467,chr1,8083621,8084621,chr1:8083621..8084621,0
chr1,2158467,2159467,chr1:2158467..2159467,chr1,8087621,8088621,chr1:8087621..8088621,0
chr1,2156467,2157467,chr1:2156467..2157467,chr1,8085621,8086621,chr1:8085621..8086621,0
chr1,2158579,2159579,chr1:2159006..2159709,chr1,210547018,210548018,chr1:210547195..210547842,1
chr1,2160579,2161579,chr1:2160579..2161579,chr1,210549018,210550018,chr1:210549018..210550018,0
chr1,2156579,2157579,chr1:2156579..2157579,chr1,210545018,210546018,chr1:210545018..210546018,0
chr1,2158579,2159579,chr1:2158579..2159579,chr1,210549018,210550018,chr1:210549018..210550018,0
chr1,2156579,2157579,chr1:2156579..2157579,chr1,210547018,210548018,chr1:210547018..210548018,0
chr1,2343646,2344646,chr1:2343671..2344621,chr1,43147048,43148048,chr1:43147226..43147870,1
chr1,2345646,2346646,chr1:2345646..2346646,chr1,43149048,43150048,chr1:43149048..43150048,0
chr1,2341646,2342646,chr1:2341646..2342646,chr1,43145048,43146048,chr1:43145048..43146048,0
chr1,2343646,2344646,chr1:2343646..2344646,chr1,43149048,43150048,chr1:43149048..43150048,0
chr1,2341646,2342646,chr1:2341646..2342646,chr1,43147048,43148048,chr1:43147048..43148048,0
chr1,3541036,3542036,chr1:3540996..3541801,chr1,28907857,28908857,chr1:28907929..28908785,1
chr1,3543036,3544036,chr1:3543036..3544036,chr1,28909857,28910857,chr1:28909857..28910857,0
chr1,3539036,3540036,chr1:3539036..3540036,chr1,28905857,28906857,chr1:28905857..28906857,0
chr1,3541036,3542036,chr1:3541036..3542036,chr1,28909857,28910857,chr1:28909857..28910857,0
chr1,3539036,3540036,chr1:3539036..3540036,chr1,28907857,28908857,chr1:28907857..28908857,0
chr1,6265674,6266674,chr1:6265897..6266452,chr1,184723518,184724518,chr1:184723541..184724495,1
chr1,6267674,6268674,chr1:6267674..6268674,chr1,184725518,184726518,chr1:184725518..184726518,0
chr1,6263674,6264674,chr1:6263674..6264674,chr1,184721518,184722518,chr1:184721518..184722518,0
chr1,6265674,6266674,chr1:6265674..6266674,chr1,184725518,184726518,chr1:184725518..184726518,0
chr1,6263674,6264674,chr1:6263674..6264674,chr1,184723518,184724518,chr1:184723518..184724518,0
chr1,6453295,6454295,chr1:6453340..6454251,chr1,11967918,11968918,chr1:11967950..11968887,1
chr1,6455295,6456295,chr1:6455295..6456295,chr1,11969918,11970918,chr1:11969918..11970918,0
chr1,6451295,6452295,chr1:6451295..6452295,chr1,11965918,11966918,chr1:11965918..11966918,0
chr1,6453295,6454295,chr1:6453295..6454295,chr1,11969918,11970918,chr1:11969918..11970918,0
chr1,6451295,6452295,chr1:6451295..6452295,chr1,11967918,11968918,chr1:11967918..11968918,0
chr1,6639548,6640548,chr1:6639783..6640313,chr1,169862536,169863536,chr1:169862702..169863370,1
chr1,6641548,6642548,chr1:6641548..6642548,chr1,169864536,169865536,chr1:169864536..169865536,0
chr1,6637548,6638548,chr1:6637548..6638548,chr1,169860536,169861536,chr1:169860536..169861536,0
chr1,6639548,6640548,chr1:6639548..6640548,chr1,169864536,169865536,chr1:169864536..169865536,0
chr1,6637548,6638548,chr1:6637548..6638548,chr1,169862536,169863536,chr1:169862536..169863536,0
chr1,6662348,6663348,chr1:6662511..6663186,chr1,27816133,27817133,chr1:27816414..27816936,1
chr1,6664348,6665348,chr1:6664348..6665348,chr1,27818133,27819133,chr1:27818133..27819133,0
chr1,6660348,6661348,chr1:6660348..6661348,chr1,27814133,27815133,chr1:27814133..27815133,0
chr1,6662348,6663348,chr1:6662348..6663348,chr1,27818133,27819133,chr1:27818133..27819133,0
chr1,6660348,6661348,chr1:6660348..6661348,chr1,27816133,27817133,chr1:27816133..27817133,0
chr1,6844350,6845350,chr1:6844414..6845389,chr1,145096381,145097381,chr1:145096592..145097171,1
chr1,6846350,6847350,chr1:6846350..6847350,chr1,145098381,145099381,chr1:145098381..145099381,0
chr1,6842350,6843350,chr1:6842350..6843350,chr1,145094381,145095381,chr1:145094381..145095381,0
chr1,6844350,6845350,chr1:6844350..6845350,chr1,145098381,145099381,chr1:145098381..145099381,0
chr1,6842350,6843350,chr1:6842350..6843350,chr1,145096381,145097381,chr1:145096381..145097381,0
chr1,6844365,6845365,chr1:6844556..6845174,chr1,235667011,235668011,chr1:235667232..235667790,1
chr1,6846365,6847365,chr1:6846365..6847365,chr1,235669011,235670011,chr1:235669011..235670011,0
chr1,6842365,6843365,chr1:6842365..6843365,chr1,235665011,235666011,chr1:235665011..235666011,0
chr1,6844365,6845365,chr1:6844365..6845365,chr1,235669011,235670011,chr1:235669011..235670011,0
chr1,6842365,6843365,chr1:6842365..6843365,chr1,235667011,235668011,chr1:235667011..235668011,0
chr1,6844482,6845482,chr1:6844678..6845321,chr1,110881806,110882806,chr1:110881947..110882665,1
chr1,6846482,6847482,chr1:6846482..6847482,chr1,110883806,110884806,chr1:110883806..110884806,0
chr1,6842482,6843482,chr1:6842482..6843482,chr1,110879806,110880806,chr1:110879806..110880806,0
chr1,6844482,6845482,chr1:6844482..6845482,chr1,110883806,110884806,chr1:110883806..110884806,0
chr1,6842482,6843482,chr1:6842482..6843482,chr1,110881806,110882806,chr1:110881806..110882806,0
chr1,6844496,6845496,chr1:6844731..6845262,chr1,243417679,243418679,chr1:243417857..243418502,1
chr1,6846496,6847496,chr1:6846496..6847496,chr1,243419679,243420679,chr1:243419679..243420679,0
chr1,6842496,6843496,chr1:6842496..6843496,chr1,243415679,243416679,chr1:243415679..243416679,0
chr1,6844496,6845496,chr1:6844496..6845496,chr1,243419679,243420679,chr1:243419679..243420679,0
chr1,6842496,6843496,chr1:6842496..6843496,chr1,243417679,243418679,chr1:243417679..243418679,0
chr1,8013861,8014861,chr1:8014073..8014650,chr1,225117064,225118064,chr1:225117304..225117825,1
chr1,8015861,8016861,chr1:8015861..8016861,chr1,225119064,225120064,chr1:225119064..225120064,0
chr1,8011861,8012861,chr1:8011861..8012861,chr1,225115064,225116064,chr1:225115064..225116064,0
chr1,8013861,8014861,chr1:8013861..8014861,chr1,225119064,225120064,chr1:225119064..225120064,0
chr1,8011861,8012861,chr1:8011861..8012861,chr1,225117064,225118064,chr1:225117064..225118064,0
chr1,8020915,8021915,chr1:8020995..8021711,chr1,38477861,38478861,chr1:38477959..38478763,1
chr1,8022915,8023915,chr1:8022915..8023915,chr1,38479861,38480861,chr1:38479861..38480861,0
